names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,Dia,Hora,periodo,calidad_aire
Madrid,Pais_Vasco,70,2024-06-25 22:35:37,0.1,60.0,11.5,48.4,1009.9,42.0,70.0,1.6,28.8,1.0,2024-06-25,22,noche,Moderada
"Cuatro Caminos, Madrid, Spain",Pais_Vasco,119,2024-06-25 22:35:37,,60.0,25.6,,1009.9,51.0,119.0,,26.6,1.0,2024-06-25,22,noche,Dañina a la Salud de los Grupos Sensitivos
"Sanchinarro, Madrid, Spain",Pais_Vasco,91,2024-06-25 22:35:37,,62.0,12.4,,1007.6,41.0,91.0,,26.1,3.2,2024-06-25,22,noche,Moderada
"Plaza De Castilla, Madrid, Spain",Pais_Vasco,89,2024-06-25 22:35:37,,60.0,16.5,,1009.9,43.0,89.0,,26.6,1.0,2024-06-25,22,noche,Moderada
"Castellana, Madrid, Spain",Pais_Vasco,70,2024-06-25 22:35:37,,60.0,11.5,,1009.9,42.0,70.0,,26.6,1.0,2024-06-25,22,noche,Moderada
"Escuelas Aguirre, Madrid, Spain",Pais_Vasco,50,2024-06-25 22:35:37,0.1,64.0,12.8,35.0,1009.9,30.0,50.0,1.6,26.1,0.5,2024-06-25,22,noche,Buena
"Fernandez Ladreda, Madrid, Spain",Pais_Vasco,50,2024-06-25 22:35:37,,34.0,17.9,,1009.0,19.0,50.0,,30.5,0.5,2024-06-25,22,noche,Buena
"Casa De Campo, Madrid, Spain",Pais_Vasco,44,2024-06-25 22:35:37,,64.0,3.7,43.5,1009.9,6.0,5.0,,26.1,0.5,2024-06-25,22,noche,Buena
"Plaza Elíptica, Madrid, Spain",Pais_Vasco,30,2024-06-25 22:35:37,0.1,34.0,18.8,,1009.0,15.0,30.0,,30.5,0.5,2024-06-25,22,noche,Buena
"Mendez Alvaro, Madrid, Spain",Pais_Vasco,25,2024-06-25 22:35:37,,40.0,8.3,,1008.6,7.0,25.0,,28.8,1.0,2024-06-25,22,noche,Buena
"Palencia III, Spain",Castilla_Leon,33,2024-06-25 22:35:37,,53.2,7.4,32.9,1013.3,17.0,25.0,1.6,23.8,2.6,2024-06-25,22,noche,Buena
"Renault IV, Palencia, Spain",Castilla_Leon,13,2024-06-25 22:35:37,0.1,55.0,2.8,33.3,1013.5,3.0,13.0,1.1,15.9,8.2,2024-06-25,22,noche,Buena
"Hontoria II - Venta de Baños, Palencia, Spain",Castilla_Leon,32,2024-06-25 22:35:37,0.1,55.0,0.5,31.7,1013.5,3.0,13.0,3.6,15.9,8.2,2024-06-25,22,noche,Buena
"Guardo, Palencia, Spain",Castilla_Leon,43,2024-06-25 22:35:37,,79.4,3.7,42.7,1011.6,30.0,9.0,1.1,21.2,0.2,2024-06-25,22,noche,Buena
"C.T.G. - Villalba, Palencia, Spain",Castilla_Leon,17,2024-06-25 22:35:37,,85.0,1.0,16.7,1022.5,2.0,9.0,1.1,,0.1,2024-06-25,22,noche,Buena
"C.T.G. - Compuerto, Palencia, Spain",Castilla_Leon,16,2024-06-25 22:35:37,,85.5,0.5,16.3,1022.5,2.0,9.0,2.1,,0.1,2024-06-25,22,noche,Buena
"Hontoria I - Poblado, Palencia, Spain",Castilla_Leon,34,2024-06-25 22:35:37,0.1,55.3,0.5,34.2,1013.5,1.0,13.0,1.1,15.9,8.0,2024-06-25,22,noche,Buena
"Actur, Zaragoza, Spain",,39,2024-06-25 22:35:37,,39.0,4.9,33.3,1009.4,16.0,39.0,,27.5,4.5,2024-06-25,22,noche,Buena
"Avda de Soria, Zaragoza, Spain",,38,2024-06-25 22:35:37,1.1,39.3,11.7,38.1,1009.5,17.0,,1.3,27.4,4.0,2024-06-25,22,noche,Buena
"Jaime Ferrán, Zaragoza, Spain",,36,2024-06-25 22:35:37,1.2,29.3,6.6,35.5,1012.7,12.0,,3.0,28.8,2.0,2024-06-25,22,noche,Buena
"El Picarral, Zaragoza, Spain",,35,2024-06-25 22:35:37,1.2,39.3,4.5,33.3,1009.5,,35.0,,27.4,4.0,2024-06-25,22,noche,Buena
"Las Fuentes, Zaragoza, Spain",,34,2024-06-25 22:35:37,2.8,39.3,2.0,34.0,1009.5,14.0,33.0,1.5,27.4,4.0,2024-06-25,22,noche,Buena
"Roger de Flor, Zaragoza, Spain",,30,2024-06-25 22:35:37,1.9,39.0,5.5,30.3,1009.4,22.0,,1.0,27.5,4.5,2024-06-25,22,noche,Buena
"Renovales (Luis Vives), Zaragoza, Spain",,28,2024-06-25 22:35:37,1.9,46.0,7.1,27.8,1006.1,13.0,,1.1,28.0,1.5,2024-06-25,22,noche,Buena
