names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
"Public School 274, New York, USA",Castilla_Leon,22,2024-06-28T14:34:50+09:00,,47.5,,,1016.7,,22.0,,20.6,2.2
"Ft Lee Near Road, NewJersey, USA",Castilla_Leon,21,2024-06-28T15:46:49+09:00,2.3,60.0,0.1,1.0,1016.4,,21.0,1.5,20.5,3.0
"The City College of New York, USA",Castilla_Leon,19,2024-06-28T15:18:22+09:00,1.4,42.0,4.7,26.4,1017.2,,19.0,,20.0,2.5
"I S 52 Junior High School, New York, USA",Castilla_Leon,18,2024-06-28T14:34:51+09:00,1.4,40.0,3.6,25.6,1015.2,,18.0,,21.0,4.6
"Intermediate School 74, New York, USA",Castilla_Leon,18,2024-06-28T15:18:22+09:00,1.4,45.0,3.6,25.6,1015.9,,18.0,,20.0,3.0
"Morrisania, New York, USA",Castilla_Leon,4,2024-06-28T14:34:54+09:00,1.4,40.0,4.7,26.4,1015.2,,4.0,,21.0,4.6
"Vitória - Centro, Espírito Santo, Brazil",Pais_Vasco,76,2024-06-28T15:46:54+09:00,1.96,94.0,7.18,,1013.0,76.47,17.07,12.53,21.0,1.0
"Vila Capixaba, Espírito Santo, Brazil",Pais_Vasco,38,2024-06-28T15:26:11+09:00,2.91,94.0,9.43,8.87,1013.0,38.41,4.7,13.46,21.0,1.0
"Jardim Camburi, Espírito Santo, Brazil",Pais_Vasco,25,2024-06-28T15:22:27+09:00,,94.0,,,1013.0,25.32,,,21.0,1.0
"Enseada do Suá, Espírito Santo, Brazil",Pais_Vasco,25,2024-06-26T17:30:19+09:00,,94.0,1.81,,1017.0,24.86,12.79,12.68,21.0,2.0
"Vila Velha - IBES, Espírito Santo, Brazil",Pais_Vasco,-,2024-06-27T23:29:17+09:00,1.44,51.0,3.97,,1013.0,,,17.35,30.0,2.5
"Vila Velha  - Centro, Espírito Santo, Brazil",Pais_Vasco,9,2021-10-31T09:07:58+09:00,,94.0,,,1018.0,9.42,,,22.0,1.5
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,21,2024-06-28T15:57:47+09:00,0.1,90.5,4.2,,1018.0,6.0,21.0,0.6,17.0,3.6
"Los Herran, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,21,2024-06-28T15:57:46+09:00,,90.5,3.2,,1018.0,8.0,21.0,,17.0,3.6
"Av. Gasteiz, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,13,2024-06-28T15:57:46+09:00,0.1,90.5,3.2,,1018.0,6.0,13.0,,17.0,3.6
"Victoria Topaz, British Comlumbia, Canada",Pais_Vasco,10,2024-06-28T15:27:50+09:00,0.1,78.5,0.6,9.9,1017.1,,9.0,0.2,13.3,1.0
"Victoria, Kolkata, India",Pais_Vasco,53,2024-06-28T15:28:20+09:00,5.1,90.45666666666666,10.9,4.6,995.7666666666668,44.0,53.0,2.2,30.0,1.04
Madrid,Pais_Vasco,57,2024-06-28T15:31:39+09:00,0.1,53.1,9.2,25.2,1016.3,29.0,57.0,1.6,21.1,3.1
"Castellana, Madrid, Spain",Pais_Vasco,57,2024-06-28T15:55:59+09:00,,49.2,9.2,,1016.3,29.0,57.0,,21.3,2.0
"Mendez Alvaro, Madrid, Spain",Pais_Vasco,38,2024-06-28T15:55:56+09:00,,52.7,7.8,,1014.8,18.0,38.0,,20.7,3.4
"Casa De Campo, Madrid, Spain",Pais_Vasco,34,2024-06-28T16:14:15+09:00,,48.0,6.0,33.3,1016.3,18.0,34.0,,21.6,1.0
"Cuatro Caminos, Madrid, Spain",Pais_Vasco,30,2024-06-28T15:52:59+09:00,,49.2,9.2,,1016.3,19.0,30.0,,21.3,2.0
"Escuelas Aguirre, Madrid, Spain",Pais_Vasco,25,2024-06-28T16:14:13+09:00,0.1,48.0,13.8,25.2,1016.3,17.0,17.0,1.6,21.6,1.0
"Plaza Elíptica, Madrid, Spain",Pais_Vasco,25,2024-06-28T15:27:52+09:00,0.1,52.0,19.7,,1015.0,18.0,25.0,,21.0,1.5
"Sanchinarro, Madrid, Spain",Pais_Vasco,21,2024-06-28T15:55:59+09:00,,50.0,12.8,,1013.8,15.0,21.0,,21.9,0.5
"Fernandez Ladreda, Madrid, Spain",Pais_Vasco,21,2024-06-28T15:55:55+09:00,,52.0,17.4,,1015.0,16.0,21.0,,21.0,1.8
"Plaza De Castilla, Madrid, Spain",Pais_Vasco,17,2024-06-28T15:55:58+09:00,,49.2,8.7,,1016.3,13.0,17.0,,21.3,2.0
